35.00000000,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
12.00000000,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.84000000e-08
11.00000000,7.43600000e-07,1.48400000e-07,4.42000000e-09,0.00000000e+00
10.00000000,8.42700000e-07,1.68200000e-07,5.00900000e-09,0.00000000e+00
9.00000000,9.54900000e-07,1.90500000e-07,5.67600000e-09,0.00000000e+00
8.00000000,1.08200000e-06,2.15900000e-07,6.43200000e-09,0.00000000e+00
7.00000000,1.22600000e-06,2.44700000e-07,7.28800000e-09,0.00000000e+00
6.00000000,1.38900000e-06,2.77200000e-07,8.25900000e-09,0.00000000e+00
5.00000000,1.57400000e-06,3.14200000e-07,9.35800000e-09,0.00000000e+00
4.00000000,1.78400000e-06,3.56000000e-07,1.06000000e-08,0.00000000e+00
3.00000000,2.02100000e-06,4.03400000e-07,1.20200000e-08,0.00000000e+00
2.00000000,2.29100000e-06,4.57100000e-07,1.36200000e-08,0.00000000e+00
1.00000000,8.90700000e-06,1.31300000e-05,4.68800000e-07,0.00000000e+00
0.00000000,1.00900000e-05,1.48700000e-05,5.31200000e-07,0.00000000e+00
